threshold,threshold_pct,trades,win_rate,return_pct,sharpe,drawdown_pct,benchmark_return,excess_return,compras,vendas,hold
0.001,0.1,12,8.333333333333332,-21.621683999999995,-0.5444249225191475,21.621683999999995,-100.0,78.37831600000001,648,643,141
0.005,0.5,8,12.5,-19.582727499999994,-0.48635201038730586,20.780243999999993,-100.0,80.41727250000001,433,435,564
0.01,1.0,10,10.0,-15.468819999999992,-0.3090948861491209,20.97124399999999,-100.0,84.53118,243,246,943
0.015,1.5,22,13.636363636363635,4.449349500000026,0.1310131240248418,11.827787500000007,-100.0,104.44934950000003,114,105,1213
0.02,2.0,44,20.454545454545457,50.34451649999997,0.5635618426557465,18.159190208719345,-100.0,150.34451649999997,47,45,1340
0.025,2.5,10,30.0,30.107622999999993,0.45342185055159834,16.987904600576417,-100.0,130.107623,17,17,1398
0.03,3.0,5,20.0,69.688103,0.7334720099164982,18.452121168450464,-100.0,169.688103,8,3,1421
